@relation data

@attribute Class {DCIC,Fettgewebe,Gef‰ﬂ,Kalk,Mikrokalk,Nerv,'Normales Mammaepithel',Stroma,Tumor}
@attribute 'H - Q25' numeric
@attribute 'H - Median' numeric
@attribute 'H - Q75' numeric
@attribute 'E - Q25' numeric
@attribute 'E - Median' numeric
@attribute 'E - Q75' numeric
@attribute CountCores numeric
@attribute CountLumina numeric
@attribute MidCoresSize numeric
@attribute MeanCoresSize numeric
@attribute Q25CoresSize numeric
@attribute Q75CoresSize numeric
@attribute MidLuminaSize numeric
@attribute MeanLuminaSize numeric
@attribute Q25LuminaSize numeric
@attribute Q75LuminaSize numeric
@attribute DensityCores numeric
@attribute MidFormFactorCores numeric
@attribute MeanFormFactorCores numeric
@attribute Q25FormFactorCores numeric
@attribute Q75FormFactorCores numeric
@attribute MidFormFactorLuminaWithSize numeric
@attribute MeanFormFactorLuminaWithSize numeric
@attribute Q25FormFactorLuminaWithSize numeric
@attribute Q75FormFactorLuminaWithSize numeric
@attribute MidDensityLuminaCoresInNear numeric
@attribute MeanDensityLuminaCoresInNear numeric
@attribute Q25DensityLuminaCoresInNear numeric
@attribute Q75DensityLuminaCoresInNear numeric
@attribute MidDensityFormFactorLuminaCoresInNear numeric
@attribute MeanDensityFormFactorLuminaCoresInNear numeric
@attribute Q25DensityFormFactorLuminaCoresInNear numeric
@attribute Q75DensityFormFactorLuminaCoresInNear numeric

@data
DCIC,0,18,57,79,107,126,2204,14335,529,389,220,696,2471,815,648,1975,2204,23,20,17,27,25,7,4,9,137,69,45,115,15844,5822,3110,11505
DCIC,5,36,84,18,66,105,3015,20542,509,367,229,629,8414,1087,770,2921,3015,23,21,17,27,39,5,3,16,260,134,91,267,53773,14050,7431,32658
DCIC,8,43,90,35,77,108,2747,14700,563,379,194,648,4571,1108,648,2431,2747,25,22,18,31,30,6,4,13,189,113,75,223,29848,9528,4187,26702
DCIC,10,45,100,55,79,99,2088,15513,621,397,206,736,3731,1159,784,1783,2088,27,22,18,31,24,7,4,22,155,90,62,148,15228,6320,3368,15476
DCIC,0,16,55,48,105,132,2603,23197,528,425,237,656,6425,888,655,1812,2603,23,19,16,25,22,7,4,15,155,98,64,149,25274,6865,4177,11793
DCIC,2,25,74,19,58,103,2741,41116,534,440,305,722,19261,912,840,2656,2741,24,21,17,28,193,15,6,22,336,78,76,531,57890,5405,2205,37760
DCIC,0,14,49,68,106,129,2560,15977,523,405,232,701,3687,1204,687,2815,2560,23,20,17,27,27,7,4,12,274,125,68,283,43505,10704,5070,25273
Fettgewebe,0,7,30,7,16,59,5935,19785,708,491,125,926,14512,1348,874,2698,5935,34,27,21,41,72,12,8,21,982,674,474,874,92614,71607,23634,102306
Fettgewebe,0,6,21,11,26,50,8564,108700,356,283,164,396,91830,1978,827,3491,8564,21,20,17,24,751,18,6,52,2327,177,81,368,146186,7208,4315,18466
Fettgewebe,0,0,13,9,14,33,3472,41664,513,287,149,1150,31945,31945,31945,31945,3472,34,31,26,47,1075,1075,1075,1075,2662,2662,2662,2662,39533,39533,39533,39533
Fettgewebe,0,9,47,6,15,62,2736,22572,341,255,162,445,15727,2429,841,34422,2736,24,22,18,29,178,12,9,384,627,116,110,1639,35653,12846,4722,57923
Fettgewebe,0,6,37,11,22,81,5968,34104,433,373,228,559,21606,1675,646,50295,5968,26,21,18,31,189,14,10,350,1340,837,117,2095,114501,27353,6927,70320
Fettgewebe,0,5,28,8,24,70,15623,48381,332,287,180,385,34038,709,613,1808,15623,19,18,16,22,35,6,3,11,1908,600,261,2494,873015,35932,15305,272171
Fettgewebe,0,5,13,5,11,20,16403,590520,380,331,129,527,556135,556135,556135,556135,16403,33,29,23,37,5419,5419,5419,5419,23172,23172,23172,23172,1188840,1188840,1188840,1188840
Fettgewebe,0,6,43,11,23,76,4319,24190,376,259,140,558,14893,698,542,2684,4319,24,23,20,28,122,5,3,11,693,447,85,870,59745,19903,7018,50616
Fettgewebe,0,0,3,6,9,19,116053,696320,307,245,196,432,651162,651162,651162,651162,116053,23,25,19,26,2448,2448,2448,2448,130232,130232,130232,130232,17314639,17314639,17314639,17314639
Fettgewebe,0,4,15,6,12,39,10843,71566,571,381,222,611,56742,4072,609,38022,10843,26,22,18,31,265,46,14,499,3201,4752,407,7515,347863,180732,17833,1183436
Fettgewebe,0,0,6,7,12,39,29305,114292,219,135,89,219,102679,762,605,61411,29305,29,27,21,36,437,7,4,65,5514,671,180,6300,913923,31902,14892,2224925
Fettgewebe,0,0,8,6,13,54,13933,53876,308,224,123,435,44866,1141,583,24763,13933,31,26,20,38,253,5,3,19,1799,298,175,2251,318949,33993,13190,110750
Fettgewebe,0,4,23,10,19,69,6821,26800,558,489,214,765,19062,1065,737,4426,6821,27,23,19,31,112,11,6,77,892,152,114,1404,83592,12687,4880,39379
Fettgewebe,0,5,13,5,10,19,11869,263510,376,231,124,450,241698,2309,1055,19639,11869,31,26,18,37,1948,10,10,186,3336,211,144,677,206793,15915,11014,35581
Fettgewebe,0,7,24,6,15,47,10138,22066,371,295,177,443,17199,1038,658,3039,10138,22,18,16,24,48,8,5,12,917,312,207,553,158135,28301,11592,49985
