@relation data

@attribute Class {DCIC,Entz¸ndung,Fettgewebe,Gef‰ﬂ,Kalk,Mikrokalk,'Normales Mammaepithel',Stroma,Tumor}
@attribute 'H - Q25' numeric
@attribute 'H - Median' numeric
@attribute 'H - Q75' numeric
@attribute 'E - Q25' numeric
@attribute 'E - Median' numeric
@attribute 'E - Q75' numeric
@attribute CountCores numeric
@attribute CountLumina numeric
@attribute MidCoresSize numeric
@attribute MeanCoresSize numeric
@attribute Q25CoresSize numeric
@attribute Q75CoresSize numeric
@attribute MidLuminaSize numeric
@attribute MeanLuminaSize numeric
@attribute Q25LuminaSize numeric
@attribute Q75LuminaSize numeric
@attribute DensityCores numeric
@attribute MidFormFactorCores numeric
@attribute MeanFormFactorCores numeric
@attribute Q25FormFactorCores numeric
@attribute Q75FormFactorCores numeric
@attribute MidFormFactorLuminaWithSize numeric
@attribute MeanFormFactorLuminaWithSize numeric
@attribute Q25FormFactorLuminaWithSize numeric
@attribute Q75FormFactorLuminaWithSize numeric
@attribute MidDensityLuminaCoresInNear numeric
@attribute MeanDensityLuminaCoresInNear numeric
@attribute Q25DensityLuminaCoresInNear numeric
@attribute Q75DensityLuminaCoresInNear numeric
@attribute MidDensityFormFactorLuminaCoresInNear numeric
@attribute MeanDensityFormFactorLuminaCoresInNear numeric
@attribute Q25DensityFormFactorLuminaCoresInNear numeric
@attribute Q75DensityFormFactorLuminaCoresInNear numeric

@data
DCIC,5,36,84,18,66,105,3015,20542,509,367,229,629,8414,1087,770,2921,3015,23,21,17,27,39,5,3,16,260,134,91,267,53773,14050,7431,32658
DCIC,8,43,90,35,77,108,2747,14700,563,379,194,648,4571,1108,648,2431,2747,25,22,18,31,30,6,4,13,189,113,75,223,29848,9528,4187,26702
DCIC,0,14,49,68,106,129,2560,15977,523,405,232,701,3687,1204,687,2815,2560,23,20,17,27,27,7,4,12,274,125,68,283,43505,10704,5070,25273
DCIC,0,16,55,48,105,132,2603,23197,528,425,237,656,6425,888,655,1812,2603,23,19,16,25,22,7,4,15,155,98,64,149,25274,6865,4177,11793
DCIC,0,18,57,79,107,126,2204,14335,529,389,220,696,2471,815,648,1975,2204,23,20,17,27,25,7,4,9,137,69,45,115,15844,5822,3110,11505
DCIC,10,45,100,55,79,99,2088,15513,621,397,206,736,3731,1159,784,1783,2088,27,22,18,31,24,7,4,22,155,90,62,148,15228,6320,3368,15476
DCIC,2,25,74,19,58,103,2741,41116,534,440,305,722,19261,912,840,2656,2741,24,21,17,28,193,15,6,22,336,78,76,531,57890,5405,2205,37760
DCIC,17,17,17,96,96,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Entz¸ndung,12,12,12,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fettgewebe,0,0,13,9,14,33,3472,41664,513,287,149,1150,31945,31945,31945,31945,3472,34,31,26,47,1075,1075,1075,1075,2662,2662,2662,2662,39533,39533,39533,39533
